City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vilyuchinsk,52.9306,158.4028,20.15,64,2,0.93,RU,1687818206
83,malango,-2.9627,119.9001,19.21,97,80,1.06,ID,1687818206
84,calama,-22.4667,-68.9333,18.27,13,0,6.17,CL,1687818207
85,isafjordur,66.0755,-23.124,12.42,65,67,2.54,IS,1687818207
86,badger,64.8,-147.5333,20.56,45,75,1.54,US,1687818207
87,tiksi,71.6872,128.8694,12.06,54,17,5.11,RU,1687818207
88,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,4.12,EC,1687818149
89,ilha de mocambique,-15.0342,40.7358,23.82,59,1,5.3,MZ,1687818207
90,puerto ayora,-0.7393,-90.3518,30.98,90,77,2.24,EC,1687818208
91,utrik,11.2278,169.8474,28.15,80,86,8.6,MH,1687818208
92,hirara,24.8,125.2833,27.15,89,20,3.09,JP,1687818208
93,lompoc,34.6391,-120.4579,24.27,74,40,8.75,US,1687818208
94,waitangi,-43.9535,-176.5597,12.68,88,100,7.15,NZ,1687818208
95,hermanus,-34.4187,19.2345,14.33,84,68,10.59,ZA,1687818208
96,bandarbeyla,9.4942,50.8122,24.51,79,11,13.54,SO,1687818209
97,al bardiyah,31.7561,25.0865,23.19,85,0,3.64,LY,1687818209
98,hawaiian paradise park,19.5933,-154.9731,26.73,78,20,6.69,US,1687818209
99,sonoita,31.85,-112.8333,41.54,6,6,6.42,MX,1687818209
100,nizhneangarsk,55.7833,109.55,8.02,99,100,0.68,RU,1687818209
101,revda,56.801,59.9303,5.72,85,59,2.33,RU,1687818209
102,walvis bay,-22.9575,14.5053,14.49,94,100,3.09,NA,1687818210
103,tazacorte,28.629,-17.9293,23.54,66,100,1.03,ES,1687818210
104,sinabang,2.4803,96.3801,26.22,82,53,1.97,ID,1687818210
105,nakamura,32.9833,132.9333,24.27,95,99,0.39,JP,1687818210
106,kingston,17.997,-76.7936,30.53,74,40,9.26,JM,1687818210
107,ilulissat,69.2167,-51.1,14.01,47,40,7.2,GL,1687818210
108,remire-montjoly,4.9167,-52.2667,26.02,94,20,0.0,GF,1687817959
109,bardai,11.65,7.2333,26.33,61,77,3.39,NG,1687818211
110,north bend,43.4065,-124.2243,21.26,77,100,7.2,US,1687818211
111,leongatha,-38.4833,145.95,7.14,90,100,2.42,AU,1687818211
112,margate,51.3813,1.3862,16.5,78,96,1.79,GB,1687818211
113,baoding,38.8511,115.4903,22.81,68,8,1.51,CN,1687818211
114,cockburn town,21.4612,-71.1419,28.53,75,5,6.2,TC,1687818212
115,richards bay,-28.783,32.0377,17.04,92,1,2.07,ZA,1687818212
116,afaahiti,-17.75,-149.2833,28.93,78,4,7.13,PF,1687818212
117,dudinka,69.4058,86.1778,9.79,68,86,3.29,RU,1687818212
118,queenstown,-31.8976,26.8753,10.26,90,100,2.42,ZA,1687818212
119,st. john's,47.5649,-52.7093,10.64,75,20,2.57,CA,1687818173
120,rudnyy,52.9594,63.1206,12.13,94,100,8.14,KZ,1687818213
121,fale old settlement,-9.3852,-171.2468,28.63,77,52,7.48,TK,1687818213
122,lupane,-18.9315,27.807,10.18,46,0,1.38,ZW,1687818213
